price,time
"$57,089.00",Fri Nov 19 15:37:00 2021
"$56,945.28",Fri Nov 19 16:05:52 2021
"$56,833.84",Fri Nov 19 16:15:54 2021
"$56,902.05",Fri Nov 19 16:25:54 2021
"$57,168.50",Fri Nov 19 16:35:55 2021
"$56,785.78",Fri Nov 19 16:45:56 2021
"$56,595.36",Fri Nov 19 16:55:57 2021
"$56,778.83",Fri Nov 19 17:05:58 2021
"$57,058.72",Fri Nov 19 17:15:59 2021
"$56,856.99",Fri Nov 19 17:26:00 2021
"$57,007.18",Fri Nov 19 17:36:01 2021
"$57,161.04",Fri Nov 19 17:46:02 2021
"$57,172.37",Fri Nov 19 17:56:03 2021
"$57,243.31",Fri Nov 19 18:06:04 2021
"$57,179.54",Fri Nov 19 18:16:05 2021
"$57,174.10",Fri Nov 19 18:26:06 2021
"$56,856.82",Fri Nov 19 18:36:08 2021
"$56,901.46",Fri Nov 19 18:46:09 2021
"$56,975.15",Fri Nov 19 18:56:20 2021
"$57,452.14",Fri Nov 19 19:06:25 2021
"$57,720.26",Fri Nov 19 19:38:00 2021
"$57,904.23",Fri Nov 19 19:48:11 2021
"$57,875.37",Fri Nov 19 19:58:12 2021
"$57,701.71",Fri Nov 19 20:08:38 2021
"$57,828.66",Fri Nov 19 20:19:39 2021
"$57,877.36",Fri Nov 19 20:29:40 2021
"$57,915.82",Fri Nov 19 20:39:41 2021
"$57,777.57",Fri Nov 19 20:49:42 2021
"$57,945.31",Fri Nov 19 20:59:45 2021
"$57,784.68",Fri Nov 19 21:09:46 2021
"$58,008.82",Fri Nov 19 21:19:46 2021
"$58,190.10",Fri Nov 19 21:29:47 2021
"$57,979.70",Fri Nov 19 21:39:48 2021
"$58,075.95",Fri Nov 19 21:49:49 2021
"$57,910.24",Fri Nov 19 21:59:50 2021
"$57,880.68",Fri Nov 19 22:09:52 2021
"$57,956.55",Fri Nov 19 22:19:53 2021
"$58,177.79",Fri Nov 19 22:29:54 2021
"$58,271.71",Fri Nov 19 22:39:55 2021
"$58,311.90",Fri Nov 19 22:50:00 2021
"$58,308.50",Fri Nov 19 23:00:00 2021
"$58,318.93",Fri Nov 19 23:10:08 2021
"$58,954.38",Sat Nov 20 07:48:44 2021
"$58,881.57",Sat Nov 20 08:32:24 2021
"$58,844.00",Sat Nov 20 08:42:24 2021
"$58,816.16",Sat Nov 20 08:52:25 2021
"$58,756.79",Sat Nov 20 09:02:26 2021
"$58,667.95",Sat Nov 20 09:12:27 2021
"$58,600.70",Sat Nov 20 09:22:27 2021
"$58,512.26",Sat Nov 20 09:32:28 2021
"$58,526.60",Sat Nov 20 10:02:16 2021
"$58,509.01",Sat Nov 20 10:12:17 2021
"$58,478.32",Sat Nov 20 10:22:18 2021
"$58,574.97",Sat Nov 20 10:32:19 2021
"$58,611.63",Sat Nov 20 10:42:20 2021
"$58,398.83",Sat Nov 20 10:52:21 2021
"$58,458.85",Sat Nov 20 11:02:22 2021
"$58,592.83",Sat Nov 20 11:12:22 2021
"$58,593.65",Sat Nov 20 11:22:23 2021
"$58,444.29",Sat Nov 20 11:32:24 2021
"$58,445.22",Sat Nov 20 11:42:26 2021
"$58,563.99",Sat Nov 20 11:52:27 2021
"$58,663.75",Sat Nov 20 12:02:28 2021
"$58,650.90",Sat Nov 20 12:12:29 2021
"$58,518.37",Sat Nov 20 12:22:31 2021
"$58,668.80",Sat Nov 20 12:32:32 2021
"$58,677.03",Sat Nov 20 12:42:33 2021
"$58,659.40",Sat Nov 20 12:52:35 2021
"$58,507.91",Sat Nov 20 13:02:36 2021
"$58,542.65",Sat Nov 20 13:12:36 2021
"$58,430.39",Sat Nov 20 13:22:38 2021
"$58,423.99",Sat Nov 20 13:32:39 2021
"$58,377.12",Sat Nov 20 13:42:40 2021
"$58,496.94",Sat Nov 20 13:52:41 2021
"$58,520.94",Sat Nov 20 14:02:42 2021
"$58,645.91",Sat Nov 20 14:12:43 2021
"$58,526.16",Sat Nov 20 14:22:44 2021
"$58,642.07",Sat Nov 20 14:32:45 2021
"$58,596.88",Sat Nov 20 14:42:46 2021
"$58,666.41",Sat Nov 20 14:52:47 2021
"$58,523.56",Sat Nov 20 15:02:48 2021
"$58,345.29",Sat Nov 20 15:12:50 2021
"$58,536.47",Sat Nov 20 15:22:50 2021
"$58,556.46",Sat Nov 20 15:32:52 2021
"$58,473.29",Sat Nov 20 15:42:53 2021
"$58,580.52",Sat Nov 20 15:52:54 2021
"$58,655.50",Sat Nov 20 16:02:55 2021
"$58,698.67",Sat Nov 20 16:12:56 2021
"$58,612.35",Sat Nov 20 16:22:57 2021
"$58,535.98",Sat Nov 20 16:32:58 2021
"$58,544.70",Sat Nov 20 16:43:02 2021
"$58,446.21",Sat Nov 20 16:56:55 2021
"$58,539.42",Sat Nov 20 17:06:55 2021
"$58,573.23",Sat Nov 20 17:16:56 2021
"$58,691.01",Sat Nov 20 17:26:57 2021
"$58,677.22",Sat Nov 20 17:39:51 2021
"$58,762.43",Sat Nov 20 17:49:52 2021
"$58,714.10",Sat Nov 20 17:59:53 2021
"$58,713.37",Sat Nov 20 18:09:54 2021
"$58,621.81",Sat Nov 20 18:19:55 2021
"$58,559.91",Sat Nov 20 18:29:56 2021
"$58,571.89",Sat Nov 20 18:39:57 2021
"$58,506.40",Sat Nov 20 18:55:54 2021
"$58,612.88",Sat Nov 20 19:05:54 2021
"$58,477.39",Sat Nov 20 19:15:56 2021
